"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Aethionema_grandiflorum",0.8,0.2,"closed",0,1
"Aethionema_saxatile",0.62,0.38,"closed",1,1
"Alyssoides_utriculata",0.16,0.84,"open",1,0
"Alyssum_alyssoides",0.65,0.35,"closed",1,1
"Alyssum_lenense",0.49,0.51,"open",1,1
"Alyssum_montanum",0.31,0.69,"open",1,1
"Alyssum_simplex",0.1,0.9,"open",1,0
"Alyssum_wulfenianum",0,1,"open",1,0
"Ammosperma_cinerea",0,1,"open",1,0
"Anastatica_hierochuntica",0,1,"open",1,0
"Anelsonia_eurycarpa",0.6,0.4,"closed",1,1
"Aphragmus_eschscholtzianus",0.08,0.92,"open",1,0
"Aphragmus_hobsonii",0,1,"open",1,0
"Aphragmus_nepalensis",0,1,"open",1,0
"Aphragmus_obscurus",1,0,"closed",0,1
"Aphragmus_serpens",1,0,"closed",0,1
"Aplanodes_doidgeana",0,1,"open",1,0
"Arabidella_trisecta",0,1,"open",1,0
"Arabidopsis_arenicola",0.46,0.54,"open",1,1
"Arabidopsis_arenosa",0.88,0.12,"closed",0,1
"Arabidopsis_cebennensis",0.67,0.33,"closed",1,1
"Arabidopsis_lyrata",0.94,0.06,"closed",0,1
"Arabidopsis_pedemontana",1,0,"closed",0,1
"Arabidopsis_thaliana",0.61,0.39,"closed",1,1
"Arabis_aculeolata",1,0,"closed",0,1
"Arabis_allionii",1,0,"closed",0,1
"Arabis_alpina",0.48,0.52,"open",1,1
"Arabis_amplexicaulis",1,0,"closed",0,1
"Arabis_androsacea",0,1,"open",1,0
"Arabis_aubrietioides",0.14,0.86,"open",1,0
"Arabis_aucheri",0.25,0.75,"open",1,0
"Arabis_bijuga",0.75,0.25,"closed",0,1
"Arabis_blepharophylla",0.25,0.75,"open",1,0
"Arabis_brachycarpa",0.33,0.67,"open",1,1
"Arabis_bryoides",0,1,"open",1,0
"Arabis_caerulea",1,0,"closed",0,1
"Arabis_ciliata",0.87,0.13,"closed",0,1
"Arabis_collina",0.18,0.82,"open",1,0
"Arabis_cretica",0,1,"open",1,0
"Arabis_crucisetosa",1,0,"closed",0,1
"Arabis_cypria",0,1,"open",1,0
"Arabis_deflexa",0.25,0.75,"open",1,0
"Arabis_doumetii",0,1,"open",1,0
"Arabis_erubescens",0,1,"open",1,0
"Arabis_flagellosa",1,0,"closed",0,1
"Arabis_furcata",0.92,0.08,"closed",0,1
"Arabis_georgiana",1,0,"closed",0,1
"Arabis_hirsuta",0.67,0.33,"closed",1,1
"Arabis_ionocalyx",0,1,"open",1,0
"Arabis_macdonaldiana",1,0,"closed",0,1
"Arabis_modesta",0.62,0.38,"closed",1,1
"Arabis_nepetifolia",0.67,0.33,"closed",1,1
"Arabis_nordmanniana",1,0,"closed",0,1
"Arabis_nuristanica",0,1,"open",1,0
"Arabis_oregana",1,0,"closed",0,1
"Arabis_paniculata",0.9,0.1,"closed",0,1
"Arabis_parvula",0.22,0.78,"open",1,0
"Arabis_planisiliqua",0.1,0.9,"open",1,0
"Arabis_procurrens",1,0,"closed",0,1
"Arabis_pterosperma",0.43,0.57,"open",1,1
"Arabis_pubescens",0.25,0.75,"open",1,0
"Arabis_pumila",1,0,"closed",0,1
"Arabis_sagittata",0.35,0.65,"open",1,1
"Arabis_scabra",0.49,0.51,"open",1,1
"Arabis_scopoliana",1,0,"closed",0,1
"Arabis_serrata",1,0,"closed",0,1
"Arabis_soyeri",1,0,"closed",0,1
"Arabis_stellulata",1,0,"closed",0,1
"Arabis_stenocarpa",0.06,0.94,"open",1,0
"Arabis_subflava",0,1,"open",1,0
"Arabis_surculosa",1,0,"closed",0,1
"Arabis_tianschanica",0,1,"open",1,0
"Arabis_verna",0,1,"open",1,0
"Arcyosperma_primulifolium",0.86,0.14,"closed",0,1
"Aschersoniodoxa_cachensis",0,1,"open",1,0
"Asperuginoides_axillaris",0,1,"open",1,0
"Athysanus_pusillus",0.41,0.59,"open",1,1
"Aubrieta_deltoidea",0.13,0.87,"open",1,0
